id,n_gt,n_ours,n_match,med_3d,mean_3d,p90_3d,med_z,n_bounces,paper_med_3d
0,159,96,96,2.5609649546270985,3.7881140070772177,8.11344957141916,0.5998393974648979,3,0.08765561182952089
1,74,50,50,1.0913457856971354,2.9785557217687013,9.321049698036813,0.4866612620977279,1,0.31067645398831845
2,74,29,29,1.0511554968645782,1.3060971980115856,2.769456648367231,0.23366798532091448,1,0.14342407213141276
3,115,56,56,0.6558573095585725,2.688847907871078,8.572852955742901,0.13166488273163934,2,0.23790427960833252
4,231,119,119,3.6902673087129756,6.2116503268150645,15.0676573902385,0.5205370194624488,4,0.41196370838659624
5,85,57,57,3.0099178824314463,5.328685344494733,12.656992747219808,0.490204772517855,2,0.22372594563559425
